router,packet_delivery_ratio_mean,packet_delivery_ratio_ci95,avg_delivery_latency_steps_mean,avg_delivery_latency_steps_ci95,avg_hops_per_delivered_mean,avg_hops_per_delivered_ci95,avg_total_queue_length_mean,avg_total_queue_length_ci95,transmission_attempts_mean,transmission_attempts_ci95,avg_success_rate_mean,avg_success_rate_ci95
slar-tuned,0.6944444444444445,0.1954485358777269,10.207625356335367,4.355832507016413,2.375085054264621,0.6061697730556114,3.1533333333333338,1.156430354689635,94.0,22.90579185092813,0.49903966923541493,0.09772464890919151
slar-default,0.6944444444444444,0.17554058828083552,12.185329777435038,2.9813591926985556,2.339741983163036,0.6269847551716249,3.4566666666666666,0.8912738299712736,101.0,23.07604971140808,0.45398562087229677,0.06176317723035274
gpsr,0.6722222222222222,0.1814031253298354,11.96858998701104,2.7524119969114555,2.1685411566990513,0.4744658212091037,3.5122222222222224,0.8708179333935641,111.88888888888889,29.64718980193015,0.3832766618544963,0.044628461464080504
slar-geo,0.6722222222222222,0.1814031253298354,11.96858998701104,2.7524119969114555,2.1685411566990513,0.4744658212091037,3.5122222222222224,0.8708179333935641,111.88888888888889,29.64718980193015,0.3832766618544963,0.044628461464080504
aodv,0.5833333333333334,0.17924145554538706,11.513198448724765,3.3515066986333983,2.044965877202719,0.5799436011314135,3.7655555555555558,0.715719434187503,102.44444444444444,58.70897013432745,0.4212530638878767,0.09964025912054829
