uav_count,router,packet_delivery_ratio_mean,packet_delivery_ratio_ci95,avg_delivery_latency_steps_mean,avg_delivery_latency_steps_ci95,avg_hops_per_delivered_mean,avg_hops_per_delivered_ci95,avg_total_queue_length_mean,avg_total_queue_length_ci95,transmission_attempts_mean,transmission_attempts_ci95,avg_success_rate_mean,avg_success_rate_ci95
8,aodv,0.3666666666666667,0.5171145012736736,15.361111111111112,9.532273449035257,1.277777777777778,0.31621525281162216,4.733333333333333,2.1361177076046314,26.0,66.7026825816062,0.5758639021796915,0.1875975760745136
8,gpsr,0.43333333333333335,0.258557250636837,15.852813852813853,8.716366153152254,1.5156926406926408,0.49495978482223923,4.756666666666667,1.5057918571235733,66.33333333333333,48.190564268383056,0.4290473017988008,0.15266988429622516
8,slar-default,0.4666666666666666,0.39926927558722175,16.63369963369963,5.958915776440002,1.559981684981685,0.6166347547903976,4.736666666666667,1.5891363743066114,66.0,47.58923242610017,0.43969057665260197,0.13654589556205074
8,slar-geo,0.43333333333333335,0.258557250636837,15.852813852813853,8.716366153152254,1.5156926406926408,0.49495978482223923,4.756666666666667,1.5057918571235733,66.33333333333333,48.190564268383056,0.4290473017988008,0.15266988429622516
8,slar-tuned,0.4666666666666666,0.39926927558722175,16.63369963369963,5.958915776440002,1.559981684981685,0.6166347547903976,4.736666666666667,1.5891363743066114,66.0,47.58923242610017,0.43969057665260197,0.13654589556205074
16,aodv,0.5666666666666668,0.1897291516869733,8.373659673659674,11.84775794234093,2.1107226107226107,1.8200076770355589,3.6333333333333333,0.8685013453940764,109.33333333333333,198.1453465275715,0.37467153941808323,0.16964574562722484
16,gpsr,0.6333333333333333,0.18972915168697316,9.847985347985349,2.01389497981432,2.2387612387612386,1.404959280955954,3.513333333333333,0.5838164056167247,123.33333333333333,42.32764616375905,0.3417156770673306,0.12731878416521825
16,slar-default,0.6666666666666666,0.1897291516869733,10.202991452991453,7.698577159632872,2.248717948717949,1.7597466915890747,3.4600000000000004,0.4732918002902397,114.66666666666667,44.18228235640276,0.39007255377055633,0.13019215646670124
16,slar-geo,0.6333333333333333,0.18972915168697316,9.847985347985349,2.01389497981432,2.2387612387612386,1.404959280955954,3.513333333333333,0.5838164056167247,123.33333333333333,42.32764616375905,0.3417156770673306,0.12731878416521825
16,slar-tuned,0.65,0.4968275423687505,8.040053628288922,12.065607262125384,2.411764705882353,1.7716805358458192,3.34,0.7937587741249739,114.33333333333333,87.55777905441238,0.42221312004885814,0.322082221252791
24,aodv,0.8166666666666668,0.31258047398054417,10.804824561403509,2.2560657396151926,2.74639724310777,0.7721173500426134,2.9299999999999997,0.8884048896323185,172.0,31.12615631443236,0.3132237500658553,0.03759543459178215
24,gpsr,0.9499999999999998,0.12420688559218761,10.204970760233918,5.137108878021792,2.751169590643275,0.22978925617077572,2.266666666666666,0.6137043656854465,146.0,37.591824899193014,0.37906700669735777,0.09024342530931652
24,slar-default,0.9499999999999998,3.377781301784425e-16,9.719298245614036,0.8506742759136144,3.210526315789474,0.4714045208087598,2.1733333333333333,0.16162811242358718,122.33333333333333,27.363127394306687,0.5321937321937322,0.1656817527390744
24,slar-geo,0.9499999999999998,0.12420688559218761,10.204970760233918,5.137108878021792,2.751169590643275,0.22978925617077572,2.266666666666666,0.6137043656854465,146.0,37.591824899193014,0.37906700669735777,0.09024342530931652
24,slar-tuned,0.9666666666666667,0.07171087883185465,5.949122807017544,4.238011413633953,3.153508771929825,0.24532669074055494,1.3833333333333335,0.43193528587292324,101.66666666666667,18.972915168697327,0.6352153110047847,0.1330505583813941
