uav_count,baseline,metric,mean_diff,t_stat,p_value,effect_size_dz,significant_p_lt_0_05
8,slar-default,packet_delivery_ratio,-0.012499999999999989,-0.7608859102526816,0.4627244947100464,-0.2196488425534896,False
8,slar-default,avg_delivery_latency_steps,-0.15686071145629965,-0.4018808480514474,0.6954698550204701,-0.11601300790232912,False
8,slar-default,transmission_attempts,-4.25,-1.403583809697471,0.18803786910900655,-0.4051797451795177,False
8,slar-default,avg_success_rate,0.052421603664971846,2.3695799726741846,0.03717944899207951,0.6840388175448933,True
8,gpsr,packet_delivery_ratio,-0.004166666666666652,-0.20934350048477457,0.8380066197143605,-0.06043226317899157,False
8,gpsr,avg_delivery_latency_steps,0.4297133626177743,0.7778178112279567,0.453081426776932,0.22453666134647315,False
8,gpsr,transmission_attempts,-2.6666666666666665,-1.1691836003220948,0.26704171549416966,-0.33751423318902857,False
8,gpsr,avg_success_rate,0.06136188639279724,2.8914530361968844,0.014667669431499249,0.8346905943987158,True
8,aodv,packet_delivery_ratio,0.1125,2.9999999999999996,0.012079839471921362,0.8660254037844386,True
8,aodv,avg_delivery_latency_steps,-0.9230338901294788,-0.6982916916452143,0.49949095970606705,-0.20157944807212178,False
8,aodv,transmission_attempts,26.0,5.029166631441309,0.00038445784906550437,1.4517953542310615,True
8,aodv,avg_success_rate,-0.028956152504625448,-0.35815607004630495,0.7270048667942088,-0.10339075172656634,False
8,slar-geo,packet_delivery_ratio,-0.004166666666666652,-0.20934350048477457,0.8380066197143605,-0.06043226317899157,False
8,slar-geo,avg_delivery_latency_steps,0.4297133626177743,0.7778178112279567,0.453081426776932,0.22453666134647315,False
8,slar-geo,transmission_attempts,-2.6666666666666665,-1.1691836003220948,0.26704171549416966,-0.33751423318902857,False
8,slar-geo,avg_success_rate,0.06136188639279724,2.8914530361968844,0.014667669431499249,0.8346905943987158,True
12,slar-default,packet_delivery_ratio,-6.938893903907228e-18,-3.986091072867592e-16,0.9999999999999997,-1.150685376967234e-16,False
12,slar-default,avg_delivery_latency_steps,0.02020521689639339,0.02943925298280822,0.9770416034331401,0.00849838031718291,False
12,slar-default,transmission_attempts,1.25,0.31967560666532147,0.7552036229342606,0.09228239878079014,False
12,slar-default,avg_success_rate,0.011329076346202996,0.3637755116076604,0.7229208116669504,0.10501294477563829,False
12,gpsr,packet_delivery_ratio,0.041666666666666664,1.086396571574862,0.30053696209178343,0.3136156765227165,False
12,gpsr,avg_delivery_latency_steps,0.4083129425041188,0.43684055895450774,0.6706783943383219,0.12610500715266582,False
12,gpsr,transmission_attempts,-4.0,-0.932658420762275,0.3710158086167539,-0.26923529514453537,False
12,gpsr,avg_success_rate,0.06666755213139836,1.7498615928860075,0.10794732799196667,0.5051415308486619,False
12,aodv,packet_delivery_ratio,0.08750000000000002,2.2169559348397705,0.04862359095538184,0.6399800528806399,True
12,aodv,avg_delivery_latency_steps,-0.1698618103029869,-0.0974709121203686,0.9241057719781153,-0.028137428675426585,False
12,aodv,transmission_attempts,25.166666666666668,4.260557305814173,0.0013417518546853524,1.2299169537048193,True
12,aodv,avg_success_rate,0.05256966965908456,1.1275382242940077,0.2835091191070391,0.325492248658869,False
12,slar-geo,packet_delivery_ratio,0.041666666666666664,1.086396571574862,0.30053696209178343,0.3136156765227165,False
12,slar-geo,avg_delivery_latency_steps,0.4083129425041188,0.43684055895450774,0.6706783943383219,0.12610500715266582,False
12,slar-geo,transmission_attempts,-4.0,-0.932658420762275,0.3710158086167539,-0.26923529514453537,False
12,slar-geo,avg_success_rate,0.06666755213139836,1.7498615928860075,0.10794732799196667,0.5051415308486619,False
16,slar-default,packet_delivery_ratio,0.09166666666666666,5.0113079677036225,0.00039541892757287905,1.446640002072901,True
16,slar-default,avg_delivery_latency_steps,0.8334044223750107,1.125252514042572,0.28443521319710946,0.32483242094439096,False
16,slar-default,transmission_attempts,-22.5,-3.8966715386024777,0.002490807430302407,-1.124872180877847,True
16,slar-default,avg_success_rate,0.16497927448908656,7.773382947684314,8.575498217878523e-06,2.2439823686797924,True
16,gpsr,packet_delivery_ratio,0.08750000000000001,3.6556307750696555,0.0037833433059182857,1.0552897060221729,True
16,gpsr,avg_delivery_latency_steps,1.7553578541484889,1.7456774305429767,0.10869742810010699,0.503933667221121,False
16,gpsr,transmission_attempts,-23.25,-4.402032933851073,0.0010596178681327026,-1.2707574496702576,True
16,gpsr,avg_success_rate,0.21174731146946627,6.216958783579192,6.557598228638325e-05,1.7946814136201275,True
16,aodv,packet_delivery_ratio,0.13749999999999998,2.687120173756612,0.021137616990896217,0.7757047778316268,True
16,aodv,avg_delivery_latency_steps,-1.1665449134199135,-0.6663812730668877,0.5188992202625178,-0.19236770369404652,False
16,aodv,transmission_attempts,-22.833333333333332,-1.4577843115391402,0.17285108891049616,-0.42082608234376795,False
16,aodv,avg_success_rate,0.13310552199249828,2.4837761163616054,0.030369346965846186,0.7170044046940681,True
16,slar-geo,packet_delivery_ratio,0.08750000000000001,3.6556307750696555,0.0037833433059182857,1.0552897060221729,True
16,slar-geo,avg_delivery_latency_steps,1.7553578541484889,1.7456774305429767,0.10869742810010699,0.503933667221121,False
16,slar-geo,transmission_attempts,-23.25,-4.402032933851073,0.0010596178681327026,-1.2707574496702576,True
16,slar-geo,avg_success_rate,0.21174731146946627,6.216958783579192,6.557598228638325e-05,1.7946814136201275,True
20,slar-default,packet_delivery_ratio,-0.04583333333333334,-1.1855340671137307,0.2607849612529228,-0.3422342063907921,False
20,slar-default,avg_delivery_latency_steps,-0.7088215140266225,-0.8178568211684808,0.43079854023355546,-0.236094927930097,False
20,slar-default,transmission_attempts,-3.8333333333333335,-0.5929059669560999,0.5652343256474008,-0.1711572098131198,False
20,slar-default,avg_success_rate,0.07644633732289999,1.8925245191304956,0.08501878119978856,0.5463247702839792,False
20,gpsr,packet_delivery_ratio,-0.016666666666666677,-0.5000000000000003,0.6269262191838467,-0.14433756729740652,False
20,gpsr,avg_delivery_latency_steps,-2.2263904804345978,-3.0896788313207884,0.010291963083143287,-0.8919134524862729,True
20,gpsr,transmission_attempts,-24.833333333333332,-3.441341326377003,0.005511609595322832,-0.9934296705785732,True
20,gpsr,avg_success_rate,0.20969713552272276,5.219057851245053,0.00028592245421527756,1.5066122276662806,True
20,aodv,packet_delivery_ratio,0.03333333333333333,0.6119379748850229,0.553016830437575,0.1766512772636112,False
20,aodv,avg_delivery_latency_steps,-1.8964485681300696,-1.0207523065848905,0.3292969698462729,-0.29466580949135895,False
20,aodv,transmission_attempts,-33.833333333333336,-2.76655842237829,0.01833951740002798,-0.7986366249444661,True
20,aodv,avg_success_rate,0.18323957739391225,2.9667616554585967,0.012819359907937682,0.8564303202002402,True
20,slar-geo,packet_delivery_ratio,-0.016666666666666677,-0.5000000000000003,0.6269262191838467,-0.14433756729740652,False
20,slar-geo,avg_delivery_latency_steps,-2.2263904804345978,-3.0896788313207884,0.010291963083143287,-0.8919134524862729,True
20,slar-geo,transmission_attempts,-24.833333333333332,-3.441341326377003,0.005511609595322832,-0.9934296705785732,True
20,slar-geo,avg_success_rate,0.20969713552272276,5.219057851245053,0.00028592245421527756,1.5066122276662806,True
24,slar-default,packet_delivery_ratio,0.016666666666666673,1.172603939955858,0.2657232114977726,0.33850160019316516,False
24,slar-default,avg_delivery_latency_steps,-1.2473938625157663,-2.302469715760468,0.04184968346433695,-0.6646657550976335,True
24,slar-default,transmission_attempts,-15.0,-2.749045635924756,0.01892291858611594,-0.793581118957862,True
24,slar-default,avg_success_rate,0.1515058679386743,5.043927691430031,0.00037564051686175235,1.456056505210068,True
24,gpsr,packet_delivery_ratio,0.004166666666666652,0.2093435004847746,0.8380066197143605,0.060432263178991585,False
