uav_count,router,packet_delivery_ratio_mean,packet_delivery_ratio_ci95,avg_delivery_latency_steps_mean,avg_delivery_latency_steps_ci95,avg_hops_per_delivered_mean,avg_hops_per_delivered_ci95,avg_total_queue_length_mean,avg_total_queue_length_ci95,transmission_attempts_mean,transmission_attempts_ci95,avg_success_rate_mean,avg_success_rate_ci95
8,aodv,0.2916666666666667,0.1319154486778596,15.061278998779,4.307403549380114,1.3826312576312576,0.2576651186425478,5.030833333333334,0.4049042197913654,27.833333333333332,18.519757353093993,0.5618099527769693,0.14555613572624732
8,gpsr,0.4083333333333334,0.15961070888693513,13.708531746031744,5.216812810484709,1.748214285714286,0.39010451182897726,4.755833333333333,0.5564834698255223,56.5,16.36672670739795,0.4714919138795466,0.07652487759500066
8,slar-default,0.4166666666666667,0.16104136828777385,14.295105820105823,5.068995332386943,1.8093253968253968,0.393078827270903,4.7716666666666665,0.5464638244483115,58.083333333333336,18.122386177273853,0.48043219660737196,0.07181186804128244
8,slar-geo,0.4083333333333334,0.15961070888693513,13.708531746031744,5.216812810484709,1.748214285714286,0.39010451182897726,4.755833333333333,0.5564834698255223,56.5,16.36672670739795,0.4714919138795466,0.07652487759500066
8,slar-tuned,0.4041666666666666,0.166158772162108,14.13824510864952,4.851245907243572,1.8334306828792124,0.4252240556892821,4.805833333333333,0.541028037558449,53.833333333333336,17.754903008038067,0.5328538002723439,0.07719217389490851
12,aodv,0.42500000000000004,0.17161398233437533,12.183796296296295,4.404865166951848,1.8909391534391533,0.37215742990858636,4.3525,0.728278528289222,53.916666666666664,16.473913865261114,0.45839240009018006,0.11707408750096726
12,gpsr,0.4708333333333334,0.13372870560922923,11.60562154348919,3.802949717609416,1.976840928679164,0.26315125230384356,4.254166666666666,0.7102587737142096,83.08333333333333,16.042774828344623,0.44429451761786626,0.08076844670320728
12,slar-default,0.5125,0.12644059955174572,11.993729269096916,3.5273476184130486,2.0990165879871765,0.27439558058124675,4.191666666666667,0.6265685467040009,77.83333333333333,10.520147199452753,0.49963299340306166,0.06584412901975982
12,slar-geo,0.4708333333333334,0.13372870560922923,11.60562154348919,3.802949717609416,1.976840928679164,0.26315125230384356,4.254166666666666,0.7102587737142096,83.08333333333333,16.042774828344623,0.44429451761786626,0.08076844670320728
12,slar-tuned,0.5125000000000001,0.12788362030335118,12.013934485993309,2.9475240637167204,2.279537524022818,0.325399140219488,4.2299999999999995,0.5448170873109796,79.08333333333333,12.980154254129344,0.5109620697492646,0.041694245997237804
16,aodv,0.5750000000000001,0.1443155343364816,12.961856661856663,3.498374495101388,2.446200096200096,0.424504894793027,4.148333333333333,0.6721327532400029,115.66666666666667,44.283475782153324,0.47460217727342274,0.09180877677965459
16,gpsr,0.625,0.14992815453347869,10.039953894288258,2.0835633051809435,2.4286498675043564,0.290139001815065,3.6666666666666665,0.48834743778148376,116.08333333333333,20.26395295051987,0.39596038779645465,0.03860510499984668
