router,packet_delivery_ratio_mean,packet_delivery_ratio_ci95,avg_delivery_latency_steps_mean,avg_delivery_latency_steps_ci95,avg_hops_per_delivered_mean,avg_hops_per_delivered_ci95,avg_total_queue_length_mean,avg_total_queue_length_ci95,transmission_attempts_mean,transmission_attempts_ci95,avg_success_rate_mean,avg_success_rate_ci95
slar-tuned,0.7464285714285714,0.0581719374590565,9.625954367096288,1.0924798911779168,2.882655607329424,0.15757024939512396,2.8810714285714285,0.32848226350539667,87.8452380952381,5.783528183493977,0.6255884909805692,0.028325724505206283
slar-default,0.7392857142857143,0.05778747559725698,10.014579959544854,1.1032459079419281,2.604151403537737,0.12973614472245937,2.9795238095238097,0.3136760437491299,96.28571428571429,6.7500684205617,0.5268132336406738,0.02632660202857194
gpsr,0.7154761904761906,0.057440435741164045,10.735506636865273,1.0122195902133546,2.3998630806348626,0.12003810984296237,3.2260714285714287,0.2754937473101148,112.6547619047619,8.572033367421849,0.4199686562515891,0.020088201573087126
slar-geo,0.7154761904761906,0.057440435741164045,10.735506636865273,1.0122195902133546,2.3998630806348626,0.12003810984296237,3.2260714285714287,0.2754937473101148,112.6547619047619,8.572033367421849,0.4199686562515891,0.020088201573087126
aodv,0.674404761904762,0.0651365359415744,11.457197092634953,1.1206726733607575,2.5240086278551,0.18637221863339545,3.4169047619047617,0.2995874662977294,106.36904761904762,12.707134803905848,0.4650652881285985,0.0312752358467429
