uav_count,seed,generated_packets,delivered_packets,dropped_packets,transmission_attempts,transmission_successes,packet_delivery_ratio,avg_delivery_latency_steps,avg_hops_per_delivered,avg_total_queue_length,avg_success_rate,peak_total_queue_length,router
8,15,20,5,15,40,20,0.25,9.0,1.0,4.95,0.5,17,slar-tuned
8,16,20,11,9,75,47,0.55,25.09090909090909,3.090909090909091,5.5,0.6266666666666667,19,slar-tuned
8,17,20,16,4,105,50,0.8,15.6875,2.5625,3.76,0.47619047619047616,16,slar-tuned
8,18,20,17,3,70,46,0.85,15.235294117647058,2.588235294117647,3.48,0.6571428571428571,15,slar-tuned
8,19,20,5,15,24,15,0.25,6.6,1.4,4.76,0.625,16,slar-tuned
12,8,20,17,3,64,46,0.85,7.882352941176471,2.5294117647058822,2.24,0.71875,11,gpsr
12,9,20,5,15,80,31,0.25,3.2,1.0,4.77,0.3875,16,gpsr
12,10,20,10,10,62,30,0.5,12.7,2.1,4.26,0.4838709677419355,15,gpsr
12,11,20,7,13,140,39,0.35,15.285714285714286,2.0,5.09,0.2785714285714286,17,gpsr
12,12,20,4,16,69,26,0.2,21.25,1.75,5.68,0.37681159420289856,19,gpsr
12,13,20,9,11,82,43,0.45,12.666666666666666,2.0,4.58,0.524390243902439,17,gpsr
12,14,20,13,7,114,43,0.65,14.384615384615385,2.076923076923077,4.06,0.37719298245614036,16,gpsr
12,15,20,17,3,98,41,0.85,6.0588235294117645,2.176470588235294,1.94,0.41836734693877553,9,gpsr
12,16,20,8,12,97,34,0.4,20.625,2.625,5.26,0.35051546391752575,19,gpsr
12,17,20,7,13,54,30,0.35,2.7142857142857144,1.7142857142857142,4.14,0.5555555555555556,14,gpsr
12,18,20,8,12,76,23,0.4,10.375,1.875,4.39,0.3026315789473684,16,gpsr
12,19,20,8,12,61,34,0.4,12.125,1.875,4.64,0.5573770491803278,19,gpsr
12,8,20,15,5,68,40,0.75,7.666666666666667,2.4,2.64,0.5882352941176471,12,aodv
12,9,20,3,17,30,7,0.15,0.3333333333333333,1.0,4.98,0.23333333333333334,17,aodv
12,10,20,7,13,42,20,0.35,4.857142857142857,1.8571428571428572,4.18,0.47619047619047616,14,aodv
12,11,20,6,14,95,28,0.3,12.666666666666666,1.3333333333333333,5.02,0.29473684210526313,18,aodv
12,12,20,1,19,40,3,0.05,23.0,1.0,5.76,0.075,20,aodv
12,13,20,5,15,22,17,0.25,21.6,1.8,5.51,0.7727272727272727,19,aodv
12,14,20,14,6,66,33,0.7,10.5,2.0714285714285716,3.25,0.5,12,aodv
12,15,20,20,0,104,53,1.0,10.55,2.65,2.11,0.5096153846153846,10,aodv
12,16,20,7,13,59,32,0.35,21.142857142857142,2.857142857142857,5.37,0.5423728813559322,19,aodv
12,17,20,6,14,26,12,0.3,7.666666666666667,1.8333333333333333,4.53,0.46153846153846156,16,aodv
12,18,20,9,11,52,23,0.45,12.666666666666666,1.7777777777777777,4.4,0.4423076923076923,15,aodv
12,19,20,9,11,43,26,0.45,13.555555555555555,2.111111111111111,4.48,0.6046511627906976,16,aodv
12,8,20,17,3,64,46,0.85,7.882352941176471,2.5294117647058822,2.24,0.71875,11,slar-geo
12,9,20,5,15,80,31,0.25,3.2,1.0,4.77,0.3875,16,slar-geo
12,10,20,10,10,62,30,0.5,12.7,2.1,4.26,0.4838709677419355,15,slar-geo
12,11,20,7,13,140,39,0.35,15.285714285714286,2.0,5.09,0.2785714285714286,17,slar-geo
12,12,20,4,16,69,26,0.2,21.25,1.75,5.68,0.37681159420289856,19,slar-geo
12,13,20,9,11,82,43,0.45,12.666666666666666,2.0,4.58,0.524390243902439,17,slar-geo
12,14,20,13,7,114,43,0.65,14.384615384615385,2.076923076923077,4.06,0.37719298245614036,16,slar-geo
12,15,20,17,3,98,41,0.85,6.0588235294117645,2.176470588235294,1.94,0.41836734693877553,9,slar-geo
12,16,20,8,12,97,34,0.4,20.625,2.625,5.26,0.35051546391752575,19,slar-geo
12,17,20,7,13,54,30,0.35,2.7142857142857144,1.7142857142857142,4.14,0.5555555555555556,14,slar-geo
12,18,20,8,12,76,23,0.4,10.375,1.875,4.39,0.3026315789473684,16,slar-geo
